Title,Summary,Sentiment,Date Published
Tonix Pharmaceuticals Announces Data Presentations on TNX-102 SL for Fibromyalgia at the 11th Global Conference on Pharmaceutics and Novel Drug Delivery Systems  ( PDDS 2024 )  - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,Presentations highlighted the proprietary formulation technology and pharmacokinetic properties of TNX-102 SL ( sublingual cyclobenzaprine HCl ) Composition and methods patents based on the eutectic formulation of TNX-102 SL are expected to provide market exclusivity until at least 2034 in the ...,-0.2,20240923T110000
Looking Into Tonix Pharmaceuticals's Recent Short Interest - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"Tonix Pharmaceuticals's TNXP short percent of float has risen 122.12% since its last report. The company recently reported that it has 1.57 million shares sold short, which is 7.13% of all regular shares that are available for trading.",0.06666666666666667,20240919T134515
Tonix Pharmaceuticals Announces Issuance of U.S. Patent by the United States Patent and Trademark Office Covering the Intranasal Delivery of FDA-Approved Tosymra® to Treat Migraines,New patent expected to expire in ...,0.018181818181818174,20240919T110000
"New Hope For Mpox? How TNX-801 Could Meet The WHO's Vaccine Targets For A Safer, Single-Dose Solution - Emergent BioSolutions  ( NYSE:EBS ) , Bavarian Nordic  ( OTC:BVNKF ) ","The mpox virus, formerly known as monkeypox, has increasingly become a global health concern, especially with rising cases of a new lethal strain across Africa and parts of Europe and Asia.",0.03409090909090909,20240918T113048
Tonix Pharmaceuticals Announces That its Single Dose Mpox Vaccine Candidate TNX-801 Aligns with WHO's Newly Issued Preferred Target Product Profile for Mpox Vaccines in Global Health Emergency,The World Health Organization ( WHO ) released its preferred target product profile ( TPP ) criteria for mpox vaccines at its Mpox Research and Innovation Scientific Conference held August ...,0.0,20240916T110000
Tonix Pharmaceuticals Announces Appointment of Thomas Englese as Executive Vice President of Commercial Operations - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"Thomas brings more than 20 years of commercial and operations experience in the biopharmaceutical industry to Tonix Tonix is on track to submit an NDA for TNX-102 SL for fibromyalgia in October of 2024 CHATHAM, N.J., Sept. 10, 2024 ( GLOBE NEWSWIRE ) -- Tonix Pharmaceuticals Holding Corp.",0.25,20240910T110000
Tonix Pharmaceuticals Announces Appointment of Thomas Englese as Executive Vice President of Commercial Operations,Thomas brings more than 20 years of commercial and operations experience in the biopharmaceutical industry to ...,0.25,20240910T110000
What's Going On With Tonix Pharmaceuticals  ( TNXP )  Stock? - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"Tonix Pharmaceuticals Holding Corp TNXP shares are trading higher by 20% to 17 cents during Monday's session after the company announced data on the potential mpox vaccine TNX-801 in the ""Using Synthetic Biology To Battle Mpox"" talk at an immunology symposium at the University of Alberta.",0.125,20240909T154800
Why Summit Therapeutics Shares Are Trading Higher By Around 18%; Here Are 20 Stocks Moving Premarket - Summit Therapeutics  ( NASDAQ:SMMT ) ,Shares of Summit Therapeutics Inc. SMMT rose sharply in today's pre-market trading after the company said Ivonescimab Monotherapy reduced the risk of disease progression or death by 49% compared to pembrolizumab monotherapy in first-line treatment of patients with PD-L1 positive advanced NSCLC in ...,0.2755681818181818,20240909T100836
Tonix Pharmaceuticals Launches National Awareness Campaign on the Impact of Gastroparesis or Stomach Paralysis on the Absorption of Oral Migraine Medications at PAINWeek,Gastroparesis slows the ability of the stomach to empty into the small intestine and thereby can delay absorption of oral medications into the bloodstream ...,-0.175,20240906T110000
Tonix Pharmaceuticals Launches National Awareness Campaign on the Impact of Gastroparesis or Stomach Paralysis on the Absorption of Oral Migraine Medications at PAINWeek - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,Gastroparesis slows the ability of the stomach to empty into the small intestine and thereby can delay absorption of oral medications into the bloodstream Non-oral medications including nasal and injectables can bypass the digestive system providing better absorption and faster relief,0.05000000000000001,20240906T110000
"As Research Into Pain Accelerates, A Newly Recognized Type Of Pain Comes To The Forefront - Tonix Targets It With FDA-Fast Track-Designated TNX-102 SL - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ","Research into the causes and nature of pain is accelerating and broadening, as evidenced by the more than 400 scientific presentations at the 2024 World Congress on Pain, held August 6-9 in Amsterdam, which was sponsored by the International Association for the Study of Pain",0.25,20240904T110026
Tonix Pharmaceuticals Presented Data from Two Posters on TNX-102 SL for Reduction of Acute Stress Reaction and Prevention of PTSD and One Poster for Wound Healing at the 2024 Military Health System Research Symposium  ( MHSRS ) ,Investigator-initiated Phase 2 trial to evaluate TNX-102 SL's potential to reduce severity of acute stress reaction ( ASR ) and frequency of acute stress disorder ( ASD ) and posttraumatic stress disorder ( PTSD ) expected to begin third quarter ...,0.21999999999999997,20240829T110000
Tonix Pharma Collaborates With World's Largest Vaccine Manufacturer For Mpox Vaccine - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"On Monday, Tonix Pharmaceuticals Holding Corp. TNXP and Bilthoven Biologicals collaborated to advance TNX-801, Tonix's mpox vaccine candidate. Bilthoven Biologicals is part of the world's largest vaccine manufacturer, the Cyrus Poonawalla Group, which includes the Serum Institute of India.",0.0,20240826T144143
"Tonix Pharmaceuticals and Bilthoven Biologicals to Collaborate on Advancing Development of Tonix's Mpox Vaccine, TNX-801",World Health Organization declared spread of mpox in multiple African countries a public health emergency of international concern ( PHEIC ) for the second time in two years ...,0.0,20240826T110000
Modern Twist To Centuries-Old Smallpox Vaccine Could Be Poised To Combat Deadly Mpox Strain As WHO Declares Global Emergency - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"Following an upsurge of cases in the Democratic Republic of the Congo and several other countries in Africa, the World Health Organization ( WHO ) declared mpox a public health emergency of international concern on Aug. 14 - the second such declaration in two years.",-0.017857142857142856,20240823T114500
Tonix Pharmaceuticals Announces Oral Presentation and Three Poster Presentations at the 2024 Military Health System Research Symposium  ( MHSRS )  - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"Oral presentation highlights TNX-102 SL ( sublingual cyclobenzaprine HCl ) treatment in Phase 3 RESILIENT study demonstrating statistically significant improvement in fibromyalgia nociplastic pain and in all six key secondary endpoints, including sleep quality",0.025000000000000005,20240821T110000
What's Going On With Tonix Pharmaceuticals  ( TNXP )  Stock? - Tonix Pharmaceuticals  ( NASDAQ:TNXP ) ,"Tonix Pharmaceuticals Holding Corp TNXP shares were trading lower Tuesday, closing down 14.61% at 38 cents. The stock is pulling back after gaining as much as 60% during Monday's session after the company reported second-quarter financial results.",0.011111111111111106,20240820T223651
Tonix Pharmaceuticals Announces First Patient Enrolled in Phase 2 CATALYST Study of TNX-1300 for the Treatment of Cocaine Intoxication,"CATALYST is a Phase 2 single-blind, placebo-controlled, proof-of-concept study in patients presenting to the emergency department ...",0.0,20240820T110000
WHO Declares Monkeypox Public Emergency: 5 Mpox Stocks to Watch,"Is the next pandemic here. With health officials declaring Monkeypox a public health emergency, investors need to be watching Monkeypox-related stocks.",0.0,20240819T150900
